时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2011-01-25,12104.0,12175.0,12344.5,12101.5,12234.117148501356,269.2857142857143,37.15846994535519,-25.628327550357426,27.63737826398929,-53.26570581434672,12808.418096219575,11880.581903780425,12344.5,927.8361924391502,29.789684310830417,26.627905490204906,36.113241952081445,-70.27027027027027,-41.79934919077111,10.266140457397317,212098.35,7150843,0.0,0.0,0.0,
2011-01-26,12043.0,12127.5,12295.0,12101.583333333334,12186.582181977417,291.42857142857144,30.425055928411638,-60.888622942547954,9.932178022681843,-70.8208009652298,12797.62468995003,11792.37531004997,12295.0,1005.2493799000586,21.365165884639634,24.87365895501648,14.348179743885936,-96.94323144104804,-97.33036231366839,0.0,209171.8,6900462,0.0,0.0,0.0,
2011-01-27,11941.0,12071.0,12250.5,12102.25,12140.717212265283,292.5,26.10722610722611,-90.21348545275396,-10.096954672405317,-80.11653078034864,12796.970974815482,11704.029025184518,12250.5,1092.9419496309638,22.391592071241234,24.0463033270914,19.0821695595409,-81.43459915611814,-118.62118660003237,0.0,207426.45,6680366,0.0,0.0,0.0,
2011-01-28,11845.0,12008.0,12212.75,12102.583333333334,12095.88700157335,265.7142857142857,32.84457478005865,-114.9527539669889,-31.068114531322035,-83.88463943566686,12810.381069085966,11615.118930914034,12212.75,1195.2621381719327,21.77957989934601,23.290728851176272,18.757281995685496,-81.31313131313131,-88.74864588217712,28.61119430594949,206731.85,6467370,0.0,0.0,0.0,
2011-01-31,11807.0,11949.0,12172.0,12100.166666666666,12061.040620471125,275.0,35.83815028901735,-128.23904406826114,-50.50230043870986,-77.73674362955128,12785.183238690131,11558.816761309869,12172.0,1226.366477380263,23.644487158223225,23.40864828685859,24.11616490095249,-75.25252525252525,-84.15626775739614,41.5638230141973,208915.55,6726253,0.0,0.0,0.0,
2011-02-01,11732.0,11918.0,12144.5,12092.833333333334,12038.084370902447,273.57142857142856,39.226519337016576,-130.00762982773813,-66.40336631651552,-63.60426351122261,12769.512841973325,11519.487158026675,12144.5,1250.0256839466492,28.239713971403937,25.01900351504037,34.68113488413106,-66.16161616161617,-49.07871298832786,56.03660779669057,207063.1,6873309,0.0,0.0,0.0,
2011-02-02,11786.0,11914.5,12111.5,12088.416666666666,12034.933478435547,270.35714285714283,43.152454780361765,-115.15387075236868,-76.15346720368615,-39.00040354868253,12688.662751834572,11534.337248165428,12111.5,1154.3255036691444,38.19332886734192,29.410445299140886,55.759096003743984,-47.474747474747474,-24.729993763203495,93.56719972633911,201543.75,6965201,0.0,0.0,0.0,
2011-02-10,11847.0,11894.0,12081.5,12072.583333333334,12032.558861441685,273.57142857142856,42.40837696335078,-101.80515500098227,-81.28380476314538,-20.521350237836884,12609.874866926873,11553.125133073127,12081.5,1056.7497338537469,45.01529187059293,34.612060822958234,65.82175396586233,-41.666666666666664,-19.73633261967491,89.48269730919452,200394.85,7121909,0.0,0.0,0.0,
2011-02-11,11987.0,11916.0,12063.5,12066.583333333334,12064.696112732954,289.2857142857143,51.11111111111111,-61.46863804475652,-77.3207714194676,15.852133374711087,12518.253837401699,11608.746162598301,12063.5,909.5076748033971,62.60687966326822,43.94366710306156,99.93330478368154,-2.2099447513812156,39.66059433978954,100.00000000000001,202235.35,7365777,0.0,0.0,0.0,
2011-02-14,12112.0,11959.5,12068.5,12066.416666666666,12092.344101996481,282.14285714285717,55.421686746987945,-30.362037716720806,-67.92902467891824,37.56698696219743,12534.186815924939,11602.813184075061,12068.5,931.3736318498777,71.63482699200698,53.17405373271003,108.55637351060086,-10.309278350515465,63.28966025718706,100.0,203517.7,7119914,0.0,0.0,0.0,
2011-02-15,12240.0,11986.0,12080.5,12075.0,12127.358949425387,288.57142857142856,60.047846889952154,2.7313048504493054,-53.796958773044736,56.52826362349404,12574.153404941684,11586.846595058316,12080.5,987.3068098833683,79.61929642604386,61.989134630487975,114.87962001715563,-4.411764705882353,67.96737695090326,100.0,208071.35,7386755,0.0,0.0,0.0,
2011-02-16,12312.0,12049.0,12088.25,12091.25,12149.991430432492,286.42857142857144,53.731343283582085,21.049663786545352,-38.827634261126725,59.87729804767208,12595.152617035941,11581.347382964059,12088.25,1013.8052340718823,81.83770088533643,68.60532338210413,108.30245589180103,-13.72549019607843,64.26401753462977,81.38954603451204,210865.65,7171352,0.0,0.0,0.0,
2011-02-17,12380.0,12113.5,12092.25,12111.166666666666,12169.039865629398,283.2142857142857,55.102040816326536,33.965191001021594,-24.269069208697065,58.234260209718656,12606.402086858592,11578.097913141408,12092.25,1028.3041737171843,82.8264411131001,73.34569595910278,101.78793142109475,-15.196078431372548,40.92422082191735,85.42806242323425,211115.6,6942720,0.0,0.0,0.0,
2011-02-18,12354.0,12170.5,12089.25,12119.25,12175.797973664694,286.07142857142856,58.69565217391305,34.922197325740854,-12.430815901809481,47.353013227550335,12598.979288317252,11579.520711682748,12089.25,1019.4585766345044,75.84112860777417,74.17750684199325,79.16837213933599,-25.980392156862745,46.830875969740454,96.01599886844939,214263.4,6670179,0.0,0.0,0.0,
2011-02-21,12308.0,12210.0,12079.5,12117.666666666666,12170.960071410913,273.2142857142857,47.916666666666664,26.10022567330452,-4.724607586786681,30.824833260091204,12577.980850078244,11581.019149921756,12079.5,996.9617001564875,64.25584284445927,70.87028550948192,51.026957514413965,-37.254901960784316,26.1250000874007,64.2576360021688,219473.1,6385219,0.0,0.0,0.0,
2011-02-22,12263.0,12251.5,12084.75,12118.083333333334,12177.05911222892,254.28571428571428,68.796992481203,27.665914826826338,1.7534968959359225,25.912417930890417,12587.662307936162,11581.837692063838,12084.75,1005.8246158723232,62.21707352421315,67.98588151439233,50.67945754385477,-26.470588235294116,17.43811822343923,99.99999999999999,220998.6,6619820,0.0,0.0,0.0,
2011-02-23,12185.0,12248.5,12081.5,12115.75,12157.815387254737,307.14285714285717,58.65384615384615,7.836572541675196,2.970112025083777,4.8664605165914185,12586.465866485825,11576.534133514175,12081.5,1009.9317329716505,57.98598552407861,64.65258285095442,44.65279087032698,-50.476190476190474,-25.870976422743986,71.78730395359753,229459.75,6237394,0.0,0.0,0.0,
2011-02-24,12043.0,12211.5,12052.75,12116.25,12108.499636087621,313.92857142857144,49.193548387096776,-34.51218933463133,-4.526348246859245,-29.985841087772087,12590.146011972736,11515.353988027264,12052.75,1074.7920239454725,44.53033955573495,57.945168419214596,17.700681828775657,-82.38095238095238,-72.43768213573505,40.521441925062256,233678.7,5987254,0.0,0.0,0.0,
2011-02-25,11913.0,12133.5,12024.75,12113.333333333334,12059.118718364989,313.92857142857144,46.21621621621621,-71.28672141054267,-17.87842287959593,-53.40829853094674,12597.972423993,11451.527576007,12024.75,1146.4448479860002,33.97260732287092,49.95431472043337,2.0091925277460234,-87.14285714285714,-73.83969488123877,23.637419817794875,234234.55,5752100,0.0,0.0,0.0,
2011-02-28,11823.0,12065.5,12012.5,12113.666666666666,12022.535983282609,316.7857142857143,46.070460704607044,-92.50566567046917,-32.80387143777058,-59.70179423269859,12605.285574083999,11419.714425916001,12012.5,1185.5711481679973,29.66594874156307,43.19152606080994,2.614794103069329,-79.04761904761905,-67.45450831360739,13.877513728519846,236550.9,5998639,0.0,0.0,0.0,
2011-03-01,11746.0,12004.5,11995.25,12122.833333333334,12006.103984874742,313.92857142857144,45.77656675749319,-94.11588506875341,-45.06627416396715,-49.04961090478626,12585.749119835336,11404.750880164664,11995.25,1180.9982396706728,32.498716230285204,39.6272561173017,18.241636456252223,-62.38095238095238,-34.671416503850466,12.763798812650053,231385.25,6181364,0.0,0.0,0.0,
2011-03-02,11709.0,11947.0,11998.0,12127.5,11985.52265298191,306.7857142857143,44.179894179894184,-99.09123206092772,-55.87126574335927,-43.219966317568456,12583.890235813025,11412.109764186975,11998.0,1171.7804716260507,32.454860739674835,37.236457658092746,22.891666902839006,-68.0952380952381,-34.366027350517285,0.0,227545.85,6007771,0.0,0.0,0.0,
2011-03-03,11756.0,11899.5,12006.5,12135.833333333334,11974.996686031252,288.2142857142857,34.6749226006192,-95.07942435324912,-63.712897465337235,-31.36652688791189,12579.278086908094,11433.721913091906,12006.5,1145.5561738161887,35.777987967864036,36.750301094683174,33.83336171422576,-60.0,-25.19766263917388,0.0,224951.05,6175971,0.0,0.0,0.0,
2011-03-04,11818.0,11865.5,12018.0,12141.583333333334,11967.854144504467,297.5,36.0,-88.85844196856306,-68.7420063659824,-20.11643560258065,12571.233556846513,11464.766443153487,12018.0,1106.4671136930265,38.835156961741006,37.44525305036912,41.61496478448478,-57.61904761904762,-9.73748073094586,3.8833441348023263,226486.2,6419670,0.0,0.0,0.0,
2011-03-07,11869.0,11846.0,12028.0,12145.25,11964.248987884992,296.07142857142856,32.903225806451616,-80.57865871026479,-71.10933683483889,-9.469321875425905,12566.344440708823,11489.655559291177,12028.0,1076.6888814176455,41.88337063442666,38.9246255783883,47.80086074650339,-54.54545454545455,-19.057845222381,0.0,222698.75,6602804,0.0,0.0,0.0,
2011-03-08,11918.0,11832.0,12041.75,12150.583333333334,11976.701465229278,297.85714285714283,41.66666666666667,-60.01098055962757,-68.88966557979663,8.878685020169058,12571.708042033311,11511.791957966689,12041.75,1059.9160840666227,58.5192620149909,45.45617105725583,84.64544393046106,-38.16425120772947,4.088114153804071,24.414937946257638,224409.4,6784073,0.0,0.0,0.0,
2011-03-09,11936.0,11822.5,12035.5,12151.916666666666,11967.491801874108,308.92857142857144,37.08791208791209,-60.36381413893287,-67.18449529162388,6.820681152691009,12570.20995580978,11500.79004419022,12035.5,1069.4199116195596,58.913338855765076,49.94189365675891,76.85622925377743,-58.93719806763285,-28.179790811834177,11.65853202139437,230309.65,6574176,0.0,0.0,0.0,
2011-03-10,11943.0,11849.5,12030.5,12155.416666666666,11962.016392171812,296.07142857142856,40.51724137931034,-57.5591815969201,-65.25943255268312,7.700250955763025,12568.076432754098,11492.923567245902,12030.5,1075.1528655081966,60.668594063047365,53.517460458855055,74.970861271432,-54.04040404040404,-22.97466133119388,21.212640183050567,227864.85,6681988,0.0,0.0,0.0,
2011-03-11,11898.0,11858.0,11995.75,12156.0,11934.681497679258,296.07142857142856,37.903225806451616,-73.45231357572266,-66.89800875729104,-6.554304818431618,12530.768691262268,11460.731308737732,11995.75,1070.037382524537,43.3303447599803,50.121755225896806,29.74752382814728,-77.77777777777777,-53.233188925492286,13.929995269950673,222469.45,6546028,0.0,0.0,0.0,
2011-03-14,11829.0,11849.0,11957.25,12152.5,11901.378497900281,291.7857142857143,32.336956521739125,-92.24662138161148,-71.96773128215513,-20.278890099456348,12494.234514135223,11420.265485864777,11957.25,1073.9690282704469,32.793146506653535,44.34555231948238,9.688334880995853,-86.86868686868686,-70.68620587693337,0.0,216317.25,6423209,0.0,0.0,0.0,
2011-03-15,11710.0,11814.0,11909.25,12146.416666666666,11863.151974290731,264.64285714285717,35.73573573573573,-112.70088964683418,-80.11436295509094,-32.586526691743245,12428.34105782683,11390.15894217317,11909.25,1038.1821156536607,30.14726144759561,39.61278869552012,11.216206951746585,-75.14450867052022,-70.55063582979533,20.162908618446828,211111.55,6260482,0.0,0.0,0.0,
2011-03-16,11611.0,11773.5,11860.25,12130.0,11817.613691024946,256.07142857142856,41.17647058823529,-136.61576205238816,-91.41464277455039,-45.201119277837776,12383.201894738431,11337.298105261569,11860.25,1045.9037894768626,23.95173884560324,34.39243874554783,3.0703390457140642,-88.4393063583815,-88.65150164170763,63.688656751726,207442.3,6118464,0.0,0.0,0.0,
2011-03-17,11514.0,11728.5,11814.0,12113.833333333334,11780.221910927332,250.71428571428572,44.25087108013937,-150.6047274749435,-103.25265971462902,-47.35206776031448,12317.844169727514,11310.155830272486,11814.0,1007.6883394550277,24.96253489177782,31.249137460957826,12.389329753417812,-73.9795918367347,-93.9925604972412,86.75072581448256,202129.2,6240834,0.0,0.0,0.0,
2011-03-18,11447.0,11672.5,11769.0,12097.666666666666,11738.296014648538,241.78571428571428,38.327526132404174,-166.62907670942514,-115.92794311358824,-50.70113359583689,12273.407938499227,11264.592061500773,11769.0,1008.8158769984548,22.63816259099121,28.37881250430229,11.156862764369052,-82.65306122448979,-82.32683395747608,44.573983215138455,193191.75,6147042,0.0,0.0,0.0,
2011-03-21,11425.0,11627.0,11736.5,12084.833333333334,11713.22020372963,244.64285714285714,36.55913978494624,-166.5156286542824,-126.04548022172708,-40.470148432555334,12227.922211009709,11245.077788990291,11736.5,982.8444220194178,26.98294660062182,27.913523869742132,25.121792062381196,-68.87755102040816,-53.611425451732295,35.439093024468136,182581.15,6219790,0.0,0.0,0.0,
2011-03-22,11404.0,11557.0,11694.5,12068.916666666666,11682.913517660141,250.35714285714286,36.04240282685513,-170.91089723040386,-135.01856362346243,-35.892333606941435,12148.707233018478,11240.292766981522,11694.5,908.4144660369566,27.60401568246583,27.810354473983367,27.19133809943075,-77.04081632653062,-61.26634143811156,31.101837158160375,174734.85,6142115,0.0,0.0,0.0,
2011-03-23,11523.0,11567.0,11694.75,12064.666666666666,11711.207468359176,285.0,52.74151436031332,-125.74011452245941,-133.16287380326185,7.422759280802438,12149.612327349816,11239.887672650184,11694.75,909.7246546996321,50.16738300399682,35.262697317321184,79.9767543773481,-17.346938775510203,55.17368261692514,100.0,159045.05,6210745,0.0,0.0,0.0,
2011-03-24,11659.0,11586.5,11718.0,12060.666666666666,11748.711518991637,271.07142857142856,55.08684863523574,-78.94545440059483,-122.31938992272845,43.37393552213362,12207.311008621185,11228.688991378815,11718.0,978.6220172423709,66.77825533599787,45.76788332354674,108.79899936090013,-1.0582010582010581,75.53164467689894,99.99999999999999,148296.9,6245922,0.0,0.0,0.0,
2011-03-25,11792.0,11619.5,11738.75,12055.916666666666,11773.119945754339,263.57142857142856,51.79856115107913,-49.360516078331784,-107.72761515384911,58.36709907551733,12240.251692288677,11237.248307711323,11738.75,1003.0033845773542,73.36166936044071,54.9658120025114,110.15338407629935,-13.471502590673575,62.097602140677026,85.54592053557124,137587.55,6224955,0.0,0.0,0.0,
2011-03-28,11900.0,11662.5,11755.75,12045.333333333334,11796.156141396783,259.2857142857143,47.92746113989637,-24.82119954574955,-91.14633203222921,66.32513248647966,12271.014622867642,11240.485377132358,11755.75,1030.5292457352843,78.09603518675323,62.67588639725867,108.93633276574234,-12.435233160621761,51.35181123700961,68.53001561668073,126126.35,6242270,0.0,0.0,0.0,
2011-03-29,11987.0,11695.5,11754.75,12031.5,11799.37936602566,253.21428571428572,48.684210526315795,-20.07021138437267,-76.9311079026579,56.86089651828523,12269.321615393239,11240.178384606761,11754.75,1029.143230786478,74.86195091897538,66.73790790449758,91.11003694793101,-31.60621761658031,24.07049791729591,71.8564023206004,118180.45,6218463,0.0,0.0,0.0,
2011-03-30,11939.0,11731.0,11752.25,12015.083333333334,11793.72418830893,256.7857142857143,45.66326530612245,-23.298694034185246,-66.20462512896337,42.905931094778126,12266.586312256144,11237.913687743856,11752.25,1028.6726245122882,67.18439004354457,66.8867352841799,67.77969956227389,-40.932642487046635,-2.9134492655412583,58.577459259586334,115215.2,6104175,0.0,0.0,0.0,
2011-03-31,11857.0,11758.0,11743.25,12000.083333333334,11784.321884660461,252.14285714285714,50.564971751412436,-29.15236341470154,-58.79417278611101,29.641809371409472,12254.834483942303,11231.665516057697,11743.25,1023.1689678846051,59.674289379134535,64.48258664916479,50.05769483907403,-45.59585492227979,-12.609643127900036,80.12352383358929,116909.05,5902098,0.0,0.0,0.0,
2011-04-01,11795.0,11793.5,11733.0,11987.916666666666,11775.815038502322,251.42857142857142,53.273809523809526,-33.40635095311518,-53.71660841951185,20.31025746639667,12239.550771601931,11226.449228398069,11733.0,1013.1015432038621,54.66755560286118,61.21090963373025,41.580847541123035,-45.59585492227979,-9.102211446480872,90.63082769015803,112064.1,5902098,0.0,0.0,0.0,
2011-04-04,11689.0,11794.5,11710.75,11970.25,11748.118368168769,235.0,49.58448753462604,-53.110684768646024,-53.59542368933869,0.48473892069266356,12219.952420716108,11201.547579283892,11710.75,1018.4048414322169,39.04550988181289,53.822443049757794,9.491643545923083,-67.35751295336787,-30.32232246660998,71.10779092249378,112279.75,5714651,0.0,0.0,0.0,
2011-04-07,11644.0,11815.5,11686.25,11957.5,11734.48804739079,226.42857142857142,56.07734806629834,-58.37065360111592,-54.55046967169414,-3.8201839294217805,12163.775144005926,11208.724855994074,11686.25,955.0502880118511,34.30457159969559,47.31648589973707,8.280742999612642,-54.92227979274612,-27.612167764307472,100.0,109794.65,5846218,0.0,0.0,0.0,
2011-04-08,11623.0,11781.0,11674.0,11940.333333333334,11725.012995258336,214.28571428571428,55.83333333333334,-59.433356776398796,-55.52704709263507,-3.9063096837637232,12143.093190158008,11204.906809841992,11674.0,938.1863803160159,32.56238579459612,42.39845253135675,12.890252321074854,-60.97560975609756,-8.927802118565152,98.78205440519697,105542.55,5971073,0.0,0.0,0.0,
2011-04-11,11652.0,11754.5,11670.5,11927.5,11735.964138567066,220.35714285714286,63.020833333333336,-43.235379414853014,-53.06871355707867,9.833334142225652,12133.179837013602,11207.820162986398,11670.5,925.3596740272042,42.896887687353484,42.56459758335566,43.561467895349125,-37.106918238993714,22.353855921178088,100.0,108332.9,6134692,0.0,0.0,0.0,
2011-04-12,11698.0,11746.5,11683.0,11914.083333333334,11753.967553941631,221.78571428571428,62.032085561497325,-23.271318753642845,-47.1092345963915,23.837915842748657,12159.493773085713,11206.506226914287,11683.0,952.9875461714255,53.78876481955881,46.30598666209005,68.75432113449631,-26.41509433962264,59.584046891093834,96.33504339105795,113401.65,6372027,0.0,0.0,0.0,
2011-04-13,11801.0,11745.0,11703.75,11909.833333333334,11777.399215471,228.57142857142858,66.21983914209116,-1.3818544891219062,-37.96375857493758,36.58190408581567,12198.085013187558,11209.414986812442,11703.75,988.6700263751154,64.00732469452069,52.20643267290026,87.60910873776155,-19.148936170212767,53.046077194628715,99.99999999999999,126968.8,6766189,0.0,0.0,0.0,
2011-04-14,11918.0,11781.0,11738.25,11909.333333333334,11816.694528283286,209.28571428571428,57.14285714285714,30.94045346158964,-24.182916167632136,55.12336962922178,12267.770885726935,11208.729114273065,11738.25,1059.0417714538708,74.94331200441506,59.78539245007187,105.25915111310144,-3.1847133757961785,70.71740016115973,55.84389659646668,148416.6,7357872,0.0,0.0,0.0,
2011-04-15,11979.0,11801.0,11766.0,11904.833333333334,11828.43790654202,220.0,44.827586206896555,35.968581303754036,-12.152616673354903,48.121197977108935,12275.360796540741,11256.639203459259,11766.0,1018.7215930814818,71.61825895835739,63.72968128616704,87.39541430273808,-35.031847133757964,51.459095407122994,0.0,163674.9,6910688,0.0,0.0,0.0,
2011-04-18,11971.0,11811.5,11784.75,11897.0,11825.729534490398,226.07142857142858,43.730886850152906,28.330008173781607,-4.056091703927601,32.386099877709206,12268.207667008664,11301.292332991336,11784.75,966.9153340173289,63.45675862616607,63.63870706616672,63.09286174616477,-52.86624203821656,13.082658527383392,0.0,174092.9,6579958,0.0,0.0,0.0,
2011-04-19,11958.0,11828.0,11810.75,11889.666666666666,11828.993388348455,228.57142857142858,45.4005934718101,26.80884679646806,2.1168959961515315,24.69195080031653,12247.137985265632,11374.362014734368,11810.75,872.7759705312637,59.42779342201026,62.23506918478124,53.8132418964683,-45.22292993630573,7.820314657095788,7.424563847982108,182309.75,6838087,0.0,0.0,0.0,
2011-04-20,11888.0,11844.5,11819.5,11878.5,11811.946398981936,227.85714285714286,44.73684210526316,8.559403018840385,3.4053974006893024,5.154005618151082,12234.011760991154,11404.988239008846,11819.5,829.023521982308,42.07754534144947,55.515894570337316,15.200846883673776,-71.97452229299363,-30.02474917484352,4.473108582612192,190437.75,6602779,0.0,0.0,0.0,
2011-04-21,11806.0,11862.0,11838.75,11872.666666666666,11808.90388479318,227.14285714285714,51.142857142857146,4.53423307319099,3.63116453518964,0.9030685380013495,12202.963283378656,11474.536716621344,11838.75,728.4265667573127,37.01528232847332,49.34902382304932,12.347799339321313,-55.4140127388535,-30.161719374524655,32.958273006614235,194765.3,6767005,0.0,0.0,0.0,
2011-04-22,11797.0,11888.0,11834.5,11870.25,11817.103514812878,223.21428571428572,55.494505494505496,10.502726898415858,5.005477007834884,5.497249890580974,12193.72284536422,11475.27715463578,11834.5,718.4456907284402,40.083017350634876,46.260354998911176,27.728342054082276,-40.76433121019108,14.006470180553313,52.30843345498832,201088.3,6962095,0.0,0.0,0.0,
2011-04-25,11826.0,11898.5,11826.5,11865.75,11829.284132449746,224.64285714285714,56.68449197860963,19.04781206748521,7.81394401976495,11.23386804772026,12166.996541446208,11486.003458553792,11826.5,680.9930828924153,44.92929448025518,45.816668159359175,43.15454712204719,-34.394904458598724,31.73739648976931,57.599860412796005,211982.0,7215146,0.0,0.0,0.0,
2011-04-26,11840.0,11899.0,11822.75,11862.083333333334,11838.876119835484,208.92857142857142,63.28358208955224,24.32902908521646,11.116961032855253,13.212068052361209,12156.555411327567,11488.944588672433,11822.75,667.6108226551332,47.31980976554827,46.31771536142221,49.32399857380041,-39.04109589041096,45.29525638011889,86.94355782153757,227171.3,6890393,0.0,0.0,0.0,
2011-04-27,11875.0,11881.5,11813.25,11860.5,11837.554584613055,208.21428571428572,56.62650602409638,19.813412457111554,12.856251317706512,6.957161139405041,12134.600358069765,11491.899641930235,11813.25,642.7007161395304,43.430597814713344,45.35534284585259,39.58110775243486,-63.9344262295082,9.101492909484035,57.342018456618995,236775.9,6680986,0.0,0.0,0.0,
2011-04-28,11867.0,11836.5,11808.75,11852.916666666666,11828.263671792765,214.64285714285714,53.06122448979591,9.269115526747555,12.138824159514721,-2.869708632767166,12131.62972341022,11485.87027658978,11808.75,645.7594468204406,37.94249592141938,42.884393871041524,28.05870002217509,-79.83193277310924,-11.931991801831188,41.48853854337939,245251.5,6487667,0.0,0.0,0.0,
2011-04-29,11862.0,11829.5,11815.25,11855.166666666666,11832.238560193455,211.42857142857142,50.91463414634147,11.272653652225927,11.965590058056964,-0.6929364058310377,12137.535832600075,11492.964167399925,11815.25,644.5716652001502,44.021589041245875,43.263458927776306,45.53784926818501,-57.983193277310924,11.95703034974725,31.943450290317717,248594.85,6668822,0.0,0.0,0.0,
