时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2024-07-31,13865,14080,13865,14080,186150,94541,,,,13912.0,13916.0,13960.5,14143.5,13960.452147215054,176.07142857142858,58.467741935483865,-34.51176194329673,-52.897207209420294,18.38544526612356,14234.685876253401,13686.314123746599,13960.5,548.3717525068023,65.55559655657223,54.595683140995746,87.47542338772519,-7.865168539325842,16.296710941566253,100.0,176924.7,971339,140554.8,-10309.0,-9.83214115402956,
2024-08-01,14115,14170,14055,14105,142929,87883,,,,13980.0,13943.0,13957.0,14143.5,13974.218609385049,176.78571428571428,58.130081300813,-19.105760910561003,-46.13891794964844,27.033157039087435,14221.264620170175,13692.735379829825,13957.0,528.529240340351,72.22224955623334,60.471205279408274,95.72433810988345,-13.0,58.554251894028106,98.84548478430173,176006.1,1114268,137238.7,-6658.0,-7.042447192223477,
2024-08-02,14105,14135,13965,14115,135669,82054,,,,14031.0,13973.0,13951.25,14142.333333333334,13987.626360872186,180.0,57.78688524590164,-6.020081914421098,-38.11515074260297,32.09506882818187,14194.687552783596,13707.812447216404,13951.25,486.8751055671928,77.40742563008149,66.11661206296601,99.98905276431245,-11.0,51.521867454000784,97.67204308965762,174732.95,1249937,133949.75,-5829.0,-6.632682088686092,
2024-08-05,14115,14160,14015,14065,128003,77119,,,,14054.0,13994.5,13943.25,14138.583333333334,13994.995278884358,181.42857142857142,54.06504065040651,0.31223162288915773,-30.42967426950455,30.741905892393707,14157.585570641246,13728.914429358754,13943.25,428.6711412824916,77.16050597560988,69.7979100338473,91.88569785913504,-21.0,68.14430577014008,84.9464666535654,170526.15,1121934,130500.9,-4935.0,-6.014332025251667,
2024-08-06,14020,14055,13870,13900,139717,68538,,,,14053.0,13981.0,13937.75,14133.75,13985.948109466799,181.07142857142858,53.4136546184739,-7.892505424777482,-25.922240500559138,18.029735075781655,14150.513149757518,13724.986850242482,13937.75,425.52629951503695,64.77367065040659,68.1231635727004,58.07468480581895,-54.0,3.102406748356531,82.71927459165222,164215.95,982217,126850.15,-8581.0,-11.126959633812683,
2024-08-07,13900,13980,13840,13885,89282,61212,,,,14014.0,13963.0,13935.5,14129.0,13976.334003803295,183.57142857142858,52.01612903225806,-15.427356326228619,-23.823263665693034,8.395907339464415,14149.556067421607,13721.443932578393,13935.5,428.1121348432134,53.05899031014761,63.101772485182806,32.97342596007721,-57.0,-16.403863369059085,77.94091316025066,158678.1,892935,122852.15,-7326.0,-10.688960868423358,
2024-08-08,13900,13915,13800,13800,64152,56813,,,,13953.0,13966.5,13932.0,14124.416666666666,13959.540289155362,177.5,49.42528735632183,-27.935545991738763,-24.64572013090218,-3.289825860836583,14152.749918042551,13711.250081957449,13932.0,441.4998360851023,35.372660206765076,53.85873505904357,-1.5994894977919074,-82.22222222222223,-48.001703096771,67.61740270581281,153448.7,828783,118277.05,-4399.0,-7.1864993792066905,
2024-08-09,13805,13895,13760,13820,76689,51312,,,,13894.0,13962.5,13927.75,14119.5,13946.250737807233,177.14285714285714,48.83720930232558,-35.8216142938727,-26.880898963496286,-8.940715330376413,14153.895621459418,13701.604378540582,13927.75,452.29124291883636,28.459822251664527,45.39243078991722,-5.4053948248408545,-77.77777777777777,-52.02898122346425,65.51139325523788,149896.1,905472,113349.1,-5501.0,-9.682643057046803,
2024-08-12,13830,13885,13650,13730,155938,139874,,,,13827.0,13940.5,13918.0,14108.833333333334,13925.65542944464,175.0,37.238493723849366,-48.77142149020074,-31.25900346883718,-17.51241802136356,14160.842812491848,13675.157187508152,13918.0,485.68562498369647,24.101419962648148,38.29542718082753,-4.286594473710622,-84.61538461538461,-78.04729534635885,23.97438221255511,149284.45,749534,112964.75,88562.0,172.59510445899596,
2024-08-13,13720,13775,13620,13675,159766,149571,,,,13782.0,13917.5,13903.5,14095.833333333334,13901.783483783245,177.85714285714286,34.016393442622956,-62.7489465415656,-37.556992083382866,-25.191954458182735,14168.17656528399,13638.82343471601,13903.5,529.353130567979,19.400946641765433,31.997267001140166,-5.7916940769840295,-90.0,-92.6866663736544,12.435482576952923,150387.75,589768,113043.45,9697.0,6.932667972603923,
