时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,index,symbol,date,turnover,settle,pre_settle,variety
2021-07-06,22150.0,22330.0,22090.0,22295,159167,98423,,,,22132.0,21958.0,22121.5,22185.083333333332,22125.46877581308,374.2857142857143,49.73821989528796,-74.63597188306085,-109.7700646275675,35.13409274450666,22868.41717288994,21374.58282711006,22121.5,1493.8343457798765,75.79125846989058,59.99174484151148,107.39028572664877,-37.15277777777778,14.082885679455126,94.42017443743617,188519.6,31208596,84961.4,1499.0,1.5465725723247115,,,,,,,
2021-07-07,22385.0,22410.0,21965.0,22350,219107,99877,,,,22209.0,22011.0,22113.75,22190.583333333332,22146.852701926116,368.92857142857144,44.1860465116279,-47.43694513563969,-97.30344072918194,49.866495593542254,22847.004282023136,21380.495717976864,22113.75,1466.5085640462712,81.15813627722434,67.04720865341577,109.3799915248415,-13.122171945701357,17.63802630205748,70.48996267842102,189380.45,31427703,85357.15,1454.0,1.4772969732684382,,,,,,,
2021-07-08,22260.0,22365.0,22100.0,22190,173377,92701,,,,22211.0,22061.0,22089.0,22195.166666666668,22150.96196840934,330.35714285714283,56.2962962962963,-38.35010714110467,-85.51277401156649,47.16266687046182,22772.81745794435,21405.18254205565,22089.0,1367.6349158887024,77.52884760823966,70.54108830502372,91.50436621467153,-21.568627450980394,18.109619000306548,100.0,189779.9,31254326,85352.15,-7176.0,-7.184837349940432,,,,,,,
2021-07-09,22230.0,22420.0,22155.0,22360,174447,101426,,,,22279.0,22121.0,22087.0,22208.916666666668,22170.870352370355,310.35714285714283,73.80281690140845,-17.232497804743616,-71.85671877020192,54.624220965458306,22767.21204124349,21406.78795875651,22087.0,1360.4240824869776,82.35256507215978,74.4782472274024,98.1012007616745,-6.4171122994652405,34.04980611907453,100.00000000000001,189885.75,31428773,85989.35,8725.0,9.411980453285285,,,,,,,
2021-07-12,22445.0,22695.0,22165.0,22185,208578,97061,,,,22276.0,22165.0,22059.25,22222.833333333332,22172.216033096985,330.7142857142857,64.73829201101928,-14.451094503550848,-60.37559391687171,45.92449941332086,22668.920100610936,21449.579899389064,22059.25,1219.3402012218721,69.02600383341725,72.66083276274068,61.7563459747704,-44.34782608695652,45.27984031088346,77.88618001614498,191796.05,31220195,86469.85,-4365.0,-4.303630232879141,,,,,,,
2021-07-13,22160.0,22235.0,21990.0,21995,171311,88428,,,,22216.0,22174.0,22036.0,22233.833333333332,22155.338315659177,326.07142857142856,54.76839237057221,-27.263942692035926,-53.753263671904556,26.48932097986863,22616.06896141752,21455.93103858248,22036.0,1160.1379228350415,52.53074585063066,65.95080379203735,25.690629967817273,-68.29268292682927,3.4093289204133796,52.33272455072185,193700.15,31048884,86900.5,-8633.0,-8.894406610276008,,,,,,,
2021-07-14,21925.0,22025.0,21770.0,21980,185803,84563,,,,22142.0,22175.5,22019.5,22238.916666666668,22138.63942845354,321.07142857142856,58.43023255813954,-38.188379960029124,-50.64028692952947,12.45190696950035,22585.35194269582,21453.64805730418,22019.5,1131.7038853916383,42.588064801321345,58.16322412846535,11.437746147033337,-69.7560975609756,-19.485688550275707,56.967681468397096,192284.45,30863081,87085.45,-3865.0,-4.370787533360476,,,,,,,
2021-07-15,21910.0,22145.0,21785.0,22130,166054,77622,,,,22130.0,22170.5,21993.5,22242.916666666668,22137.816625743682,322.85714285714283,60.27777777777778,-34.346404828567756,-47.38151050933713,13.035105680769377,22479.526856524575,21507.473143475425,21993.5,972.0537130491502,41.36501617385387,52.56382147692819,18.967405567705228,-55.1219512195122,4.807247732730577,62.13949595434754,189347.45,31029135,86597.6,-6941.0,-8.208081548667856,,,,,,,
2021-07-16,22080.0,22500.0,22070.0,22465,169919,79857,,,,22151.0,22215.0,22020.0,22251.583333333332,22168.976947101426,333.2142857142857,66.98113207547169,-4.221251607868908,-38.74945872904349,34.52820712117458,22548.533223573555,21491.466776426445,22020.0,1057.06644714711,52.62172249428095,52.58312181604578,52.698923850751285,-22.4390243902439,70.26844755410065,80.90412725688192,182748.2,31199054,86772.7,2235.0,2.8793383319162036,,,,,,,
2021-07-19,22490.0,22635.0,22415.0,22495,150337,86744,,,,22213.0,22244.5,22069.0,22264.0,22200.026761663197,328.57142857142856,64.82412060301507,21.822344238637015,-26.63509813550739,48.45744237414441,22581.88246319467,21556.11753680533,22069.0,1025.76492638934,61.207274455646754,55.457839362579435,72.70614464178138,-21.62162162162162,95.59729936360485,74.8660270463784,179681.0,31349391,87452.8,6887.0,8.624165696181919,,,,,,,
