时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2020-06-22,5828,5830,5754,5784,328764,378829,,,,5713.6,5697.0,5657.9,5522.066666666667,5648.391723182638,94.28571428571429,60.70381231671554,63.391040207288825,57.46730061707833,5.923739590210495,5820.864510182884,5494.935489817115,5657.9,325.92902036576925,68.5584683771119,57.80285597333065,90.06969318467438,-17.293233082706767,88.54616172186607,27.65715056882826,385072.2,16331569,394933.25,-19735.0,-4.951525978261961,
2020-06-23,5786,5802,5742,5754,303534,359900,,,,5732.4,5695.2,5671.4,5524.6,5658.449654308101,92.57142857142857,55.25525525525526,63.93562551746072,58.76096559715481,5.174659920305913,5817.577109591827,5525.222890408172,5671.4,292.354219183655,69.51516939426507,61.70696044697546,85.13158728884432,-28.571428571428573,71.84709921858907,12.697285776752851,388915.95,16028035,392603.35,-18929.0,-4.996713556776278,
2020-06-24,5780,5780,5738,5756,194492,349990,,,,5753.2,5700.4,5683.1,5528.6,5667.740163421616,89.0,58.917197452229296,63.79322796255383,59.76741807023462,4.025809892319209,5815.761659079305,5550.438340920696,5683.1,265.32331815860925,70.40359663878323,64.60583917757805,81.99911156119359,-27.81954887218045,64.67982272914718,26.795918944635986,378925.1,16222527,389417.35,-9910.0,-2.753542650736318,
2020-06-29,5680,5692,5578,5586,288670,338954,,,,5736.8,5689.6,5685.3,5529.866666666667,5659.9553859528905,96.57142857142857,43.68421052631579,49.39342101255443,57.69261865869858,-8.299197646144151,5809.284888723501,5561.315111276499,5685.3,247.96977744700234,49.692623323098594,59.6347672260849,29.808335517125997,-91.72932330827068,-59.330316829701694,0.0,372695.85,15933857,385979.45,-11036.0,-3.153232949512841,
2020-06-30,5606,5664,5598,5644,230088,331382,,,,5704.8,5688.0,5685.2,5531.3,5658.435825385948,97.42857142857143,47.420147420147416,42.17541361853728,54.589177650666315,-12.413764032129038,5809.321502442651,5561.078497557349,5685.2,248.24300488530207,42.43074113012774,53.90009186076585,19.492039668851532,-69.92481203007519,-45.93231334624361,10.90885653683745,359255.95,16163945,381587.95,-7572.0,-2.233931447925086,
2020-07-01,5622,5674,5592,5662,301120,330870,,,,5680.4,5697.0,5685.3,5534.533333333334,5658.775270587286,93.42857142857143,42.62734584450402,37.47554556204432,51.16645123294192,-13.6909056708976,5809.339212815906,5561.260787184095,5685.3,248.07842563181111,39.398271864529605,49.06615186202043,20.062511869547947,-63.1578947368421,-38.11375880026048,0.0,353328.8,16465065,377540.0,-512.0,-0.1545044691624753,
2020-07-02,5662,5754,5652,5736,374273,323865,,,,5676.8,5704.6,5690.2,5539.366666666667,5666.130006721831,95.42857142857143,52.127659574468076,39.26937491308763,48.78703596897106,-9.51766105588343,5814.1144016955595,5566.28559830444,5690.2,247.82880339111944,47.16498547582397,48.43242973328828,44.63009696089533,-35.338345864661655,26.019965411305634,28.51433893351091,355787.3,16839338,372941.6,-7005.0,-2.1171457067730493,
2020-07-03,5722,5798,5722,5778,296525,326190,,,,5681.2,5717.2,5694.9,5544.066666666667,5676.784291795942,95.85714285714286,55.35714285714286,43.577709875722576,47.74517075032137,-4.167460874598795,5824.8099283114425,5564.990071688557,5694.9,259.8198566228857,57.898350105575766,51.587736524050776,70.51957726862575,-19.548872180451127,67.51542728230989,50.376466015290774,351033.55,17135863,368108.9,2325.0,0.717891714140162,
2020-07-06,5766,5876,5762,5840,397432,326987,,,,5732.0,5734.4,5704.7,5550.433333333333,5692.328644958234,96.42857142857143,61.083743842364534,51.402442853562206,48.47662517096954,2.9258176825926654,5847.3856685171995,5562.0143314828,5704.7,285.3713370343994,67.90538776613329,57.026953604744946,89.66225608890997,-11.538461538461538,100.9573666358769,100.0,352605.35,17533295,364205.85,797.0,0.24433612311842712,
2020-07-07,5824,5856,5736,5746,337070,323496,,,,5752.4,5728.6,5707.9,5553.733333333334,5697.44020258126,94.71428571428571,60.63569682151589,49.44857333074651,48.67101480292494,0.7775585278215758,5851.310929628959,5564.489070371041,5707.9,286.8218592579178,64.06220481948036,59.37203734299008,73.44253977246089,-42.76315789473684,57.60956099219131,97.57240269254825,353686.1,17196225,360158.25,-3491.0,-1.0676265417279618,
